29 189
24 23 81
27 4 63
17 10 56
13 2 53
6 16 14
21 20 45
11 0 98
14 22 30
3 9 48
1 26 50
20 5 8
20 7 13
26 18 27
18 14 4
24 16 93
24 1 2
10 20 75
21 1 70
20 21 75
5 0 31
10 24 5
4 19 68
28 9 83
22 6 15
12 19 88
21 7 72
8 22 28
13 23 73
13 28 68
16 2 82
23 13 92
28 6 43
25 11 2
12 26 3
12 7 12
21 5 88
3 15 68
18 23 71
7 28 80
23 0 21
24 2 99
10 6 62
13 1 81
22 0 89
19 2 20
6 7 49
7 3 13
12 4 90
25 9 59
18 4 97
0 18 33
0 17 62
16 11 39
22 17 33
26 2 7
2 19 71
21 3 9
15 12 56
1 15 15
23 21 9
27 0 8
15 17 94
1 16 97
5 15 7
0 12 19
25 20 91
18 5 25
5 8 57
14 26 27
10 14 66
3 22 25
8 14 68
12 21 62
24 25 3
28 21 8
6 19 61
16 0 4
28 26 70
5 9 87
4 9 5
5 27 65
11 9 40
12 28 7
3 13 59
9 16 57
17 22 40
7 14 74
26 22 94
10 16 1
9 26 89
20 28 92
4 12 44
10 7 48
13 26 72
21 27 26
21 18 84
2 15 2
0 27 69
26 1 39
22 10 83
12 11 14
6 2 61
5 19 65
25 2 55
14 25 35
9 3 23
4 13 27
8 16 54
19 27 57
0 26 48
14 1 16
12 2 39
9 28 99
16 19 78
23 24 5
28 4 35
0 19 39
2 4 7
8 27 88
2 17 82
14 17 23
10 9 84
8 3 14
0 6 91
3 6 3
19 15 78
19 26 13
4 24 11
25 21 16
3 21 24
8 15 38
3 16 34
11 25 82
9 1 70
19 3 61
20 9 89
24 5 88
9 22 15
9 10 63
5 14 16
3 1 91
24 3 64
11 21 55
0 28 88
11 26 65
8 17 21
28 18 91
13 15 45
28 0 59
21 24 86
6 14 6
9 11 78
2 23 84
15 21 81
5 12 70
22 7 44
0 22 17
5 26 76
14 24 74
22 14 87
23 10 68
16 8 66
14 3 73
11 8 42
2 5 27
12 14 50
4 3 9
11 24 55
15 20 41
10 0 11
19 28 63
2 14 41
3 26 65
18 19 23
10 15 26
4 6 12
21 4 99
18 9 21
23 18 7
19 22 74
9 13 78
13 14 58
2 18 25
10 18 15
28 12 44
24 21 4
6 3 98
22 8 7
12 17 61
61 842
55 18 18
2 21 92
22 50 29
58 56 21
0 3 24
12 39 26
4 16 22
56 53 60
51 3 78
18 41 33
29 3 75
38 7 70
24 35 99
3 31 11
10 9 72
38 26 52
15 30 56
49 42 34
26 34 22
3 16 89
14 9 79
9 40 7
35 43 33
10 24 42
31 27 9
59 49 14
3 13 37
37 11 26
60 8 92
35 5 73
38 40 40
55 35 67
15 39 25
30 6 18
26 47 22
8 35 84
3 20 59
0 30 87
16 45 9
46 57 35
50 44 93
36 58 12
35 13 53
45 24 89
17 9 64
49 46 10
60 28 8
15 48 21
36 20 18
16 27 43
